Price,Close,High,Low,Open,Volume,DPA200,DPA50,Daily RSI,PDEMA20
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,,,,
Date,,,,,,,,,
2023-12-19,195.7646484375,195.77458329630363,194.72091188963017,194.98930475456203,40714100,176.5673989868164,183.30757263183594,66.53553920746796,191.8136295490761
2023-12-18,194.72091674804688,195.45650584640038,193.22986883323685,194.91972010314345,55751900,176.3500464630127,182.94603332519532,62.00266467096012,191.39773282397883
2023-12-15,196.39089965820312,197.2159328291742,195.82429416614897,196.3511298862745,128256700,176.12405235290527,182.57558685302735,67.84409351347279,191.04792398986638
2023-12-14,196.92767333984375,198.4286561477334,194.9893140401918,196.83821410318075,66831600,175.8643640136719,182.1205160522461,68.98320908880024,190.48550549846252
